Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Nirav Bohra,K T LIONS,Top-order batter,Right-arm Off Break,RHB,5,27.690,4.765,6.384,38.839
Madhur pugliya,JAIN UNITED,,Right-arm medium,RHB,4,13.902,3.594,5.880,23.376
Siddarth Jain,TOOFANI JAINS,,,,5,19.614,1.435,0.280,21.329
Shashank Sanjay Jain,TOOFANI JAINS,,Right-arm Leg Break,RHB,5,17.051,1.310,0.000,18.361
Mohit Modi,ROYAL RAJWADA,,,,4,12.241,2.788,0.000,15.029
Ashwin Jain,SR RANGERS,,,,3,6.520,6.274,0.728,13.522
Yogesh Chordiya,THE MARVEL PLAYERS,,Right-arm medium,RHB,3,6.531,1.776,3.528,11.835
Akash Surana,THE MARVEL PLAYERS,All-Rounder,Right-arm Off Break,RHB,3,5.030,1.208,4.900,11.138
SOHAM KHAJANCHI,ROYAL RAJWADA,,,,4,9.245,1.486,0.000,10.731
Manav Banthia,JAIN UNITED,,Left-arm medium,LHB,4,1.374,9.008,0.000,10.382
Palash Singhvi,ROYAL RAJWADA,None,None,RHB,4,6.533,2.003,1.064,9.600
Adish Banthia,K T LIONS,,Right-arm medium,,5,0.000,7.017,1.064,8.081
Tarun Jain,JAIN UNITED,,,,4,6.020,1.381,0.000,7.401
Saurabh jain,TOOFANI JAINS,,,,5,2.049,4.952,0.000,7.001
Sajan Jain,SR RANGERS,,Right-arm medium,RHB,3,2.000,1.183,3.640,6.823
Moksh Mahavir Meher,K T LIONS,,Right-arm medium,RHB,4,2.419,4.073,0.280,6.772
Siddharth Kothari,K T LIONS,,Right-arm medium,RHB,5,5.134,1.305,0.280,6.719
Anand Talera,THE MARVEL PLAYERS,,Right-arm medium,RHB,3,1.016,2.807,2.744,6.567
Shreyans Kothari,SR RANGERS,Top-order batter,Right-arm Leg Break,RHB,3,3.232,1.780,1.400,6.412
Sidhu Puglia,ACLESHWAR KI ANDHI,,Right-arm fast,RHB,3,3.383,1.675,0.560,5.618
Mayur yogeshkumar Bhandari,ACLESHWAR KI ANDHI,,Right-arm medium,RHB,3,2.439,2.734,0.280,5.453
Hiten Khatod,POWER HITTERS,All-Rounder,Right-arm Leg Break,RHB,3,3.547,1.181,0.700,5.428
Aayush Nilesh Puglia,POWER HITTERS,,Right-arm Leg Break,RHB,3,4.893,0.016,0.000,4.909
Shreyas Surana,K T LIONS,,Right-arm Leg Break,RHB,5,3.500,1.287,0.000,4.787
Sachin jain,TOOFANI JAINS,,,,3,0.000,0.000,4.760,4.760
Pranay Puglia,ACLESHWAR KI ANDHI,,Right-arm fast,RHB,3,0.100,3.463,1.120,4.683
Piyush Jain,POWER HITTERS,,Right-arm fast,,3,2.825,1.699,0.000,4.524
Sandip Jain,SR RANGERS,,Right-arm medium,RHB,3,2.100,1.420,0.840,4.360
SARANSH BAID,POWER HITTERS,,Right-arm medium,RHB,2,1.781,0.134,2.380,4.295
Siddesh,ACLESHWAR KI ANDHI,,Right-arm fast,RHB,2,1.039,1.323,1.680,4.042
Anmol Khatod ji,JAIN UNITED,,Right-arm fast,RHB,4,0.000,3.340,0.700,4.040
Aditya Jogad,ROYAL RAJWADA,All-Rounder,Right-arm medium,RHB,2,3.900,0.000,0.000,3.900
Shanti dugad,ACLESHWAR KI ANDHI,,Right-arm fast,RHB,3,3.616,0.000,0.280,3.896
Nirmal Bhandari,THE MARVEL PLAYERS,,,,3,0.000,2.684,0.980,3.664
RAJIV  KHAJANCHI,ACLESHWAR KI ANDHI,,Right-arm medium,RHB,2,2.300,1.340,0.000,3.640
Pratham Dugad,THE MARVEL PLAYERS,,,,3,0.700,2.681,0.224,3.605
Ankush Jain,TOOFANI JAINS,,Right-arm medium,RHB,5,1.900,1.392,0.280,3.572
Rupesh Jain,SR RANGERS,,Right-arm medium,RHB,3,3.245,0.000,0.280,3.525
Nilesh Banwat,JAIN UNITED,None,None,RHB,4,0.000,-0.113,3.500,3.387
Dr yashkumar jain,ROYAL RAJWADA,,Right-arm medium,RHB,3,1.400,0.000,1.960,3.360
Rajesh Daga,K T LIONS,,Right-arm Off Break,RHB,5,0.800,2.418,0.000,3.218
Aadesh Kothari,SR RANGERS,,,,3,0.000,3.199,0.000,3.199
Roshan Kothari,THE MARVEL PLAYERS,,,RHB,3,1.315,1.490,0.280,3.085
Pratik Kothari,SR RANGERS,,Right-arm medium,,3,0.000,1.560,1.400,2.960
Piyush Dugad,ROYAL RAJWADA,,Right-arm fast,,3,0.400,1.611,0.700,2.711
Dhawal Pankaj Jain,TOOFANI JAINS,All-Rounder,Right-arm Off Break,RHB,3,2.704,0.000,0.000,2.704
Ritesh Jain,ACLESHWAR KI ANDHI,Top-order batter,None,RHB,3,1.901,-0.076,0.840,2.665
Harsh,K T LIONS,,Right-arm fast,RHB,5,1.011,1.337,0.280,2.628
Jay Baid,JAIN UNITED,,Right-arm medium,RHB,3,1.724,0.000,0.840,2.564
Tejas rajesh jain,ACLESHWAR KI ANDHI,,Right-arm medium,LHB,3,1.300,1.137,0.000,2.437
Namanchandulal bohra,K T LIONS,,Right-arm Leg Break,RHB,3,0.900,1.285,0.224,2.409
Vivek Jain,TOOFANI JAINS,,,RHB,5,0.800,1.531,0.000,2.331
Harsh R Chordia,POWER HITTERS,,,,2,2.298,0.000,0.000,2.298
KHILESH JAIN,SR RANGERS,All-Rounder,Right-arm Off Break,RHB,3,0.600,-0.063,1.680,2.217
Chikky Jain,K T LIONS,,Right-arm Leg Break,RHB,2,0.618,0.000,1.400,2.018
Rajat Golechha,JAIN UNITED,None,Right-arm fast,RHB,1,2.002,0.000,0.000,2.002
Ajay Pravin Kothari,THE MARVEL PLAYERS,,,,3,2.017,-0.054,0.000,1.963
Amit Baid,ROYAL RAJWADA,,,,2,0.000,0.000,1.820,1.820
Aniket Lunawat,POWER HITTERS,,Right-arm medium,,3,0.300,1.212,0.280,1.792
Deepak Jain,SR RANGERS,None,Right-arm medium,RHB,2,0.000,0.000,1.680,1.680
Bunty Jain,TOOFANI JAINS,Top-order batter,Right-arm medium,RHB,2,0.000,0.000,1.680,1.680
Gaurav Gandhi,TOOFANI JAINS,,,,1,0.000,0.000,1.680,1.680
Rushabh Gothi,SR RANGERS,,Right-arm medium,RHB,3,1.565,-0.069,0.000,1.496
Ashish Khajanchi,ACLESHWAR KI ANDHI,,Right-arm medium,,2,0.000,1.470,0.000,1.470
Amol Lodha,POWER HITTERS,,,,3,0.400,0.000,0.980,1.380
Viplove Singhvi,ROYAL RAJWADA,All-Rounder,Right-arm Leg Break,RHB,1,0.000,1.342,0.000,1.342
Chetan Nandkishor Munot,POWER HITTERS,,Right-arm medium,RHB,3,0.500,0.081,0.700,1.281
Pankaj Mutha,ROYAL RAJWADA,None,Slow left-arm chinaman,RHB,4,0.000,0.265,0.980,1.245
Rohit Bothra,JAIN UNITED,,Right-arm Leg Break,RHB,1,1.200,0.000,0.000,1.200
Ritesh pugliya,JAIN UNITED,,,,1,0.000,0.000,1.120,1.120
Prashant Bhalgat,THE MARVEL PLAYERS,,,,1,0.000,1.110,0.000,1.110
Harsh daga,THE MARVEL PLAYERS,,,,2,1.103,0.000,0.000,1.103
Kushal daga,THE MARVEL PLAYERS,,,RHB,2,0.800,0.000,0.000,0.800
Adi Doshi,ROYAL RAJWADA,,Right-arm fast,RHB,1,0.000,0.000,0.700,0.700
Chetan Zambad,TOOFANI JAINS,,Left-arm fast,,4,0.000,0.326,0.000,0.326
Narendra bohra,K T LIONS,,,,1,0.000,0.000,0.280,0.280
Gautam Bhandari,K T LIONS,,,RHB,1,0.000,0.000,0.280,0.280
Tanish Rajesh Chordiya,TOOFANI JAINS,,,,1,0.000,0.000,0.280,0.280
NILESH PUGLIA,POWER HITTERS,,Right-arm Leg Break,,3,0.200,0.072,0.000,0.272
Hemant prasan bothra,K T LIONS,,,RHB,2,0.000,0.266,0.000,0.266
Ansh Tushar Doshi,JAIN UNITED,All-Rounder,Right-arm Off Break,RHB,1,0.100,0.101,0.000,0.201
Ojas pugliya,JAIN UNITED,,Right-arm medium,RHB,3,0.000,0.143,0.000,0.143
Anshul Singhvi,ACLESHWAR KI ANDHI,,,,1,0.200,-0.059,0.000,0.141
Hemantraj Singhvi,ROYAL RAJWADA,None,Right-arm Off Break,RHB,3,0.209,-0.101,0.000,0.108
Raja Parakh,SR RANGERS,,,RHB,1,0.100,0.000,0.000,0.100
Sanskar Jain,TOOFANI JAINS,,,,1,0.100,0.000,0.000,0.100
Rohan Dinesh Banthia,POWER HITTERS,,,,2,0.000,0.037,0.000,0.037
Manojraj Singhvi,ROYAL RAJWADA,,,,1,0.000,-0.040,0.000,-0.040
Trishul Bamb,THE MARVEL PLAYERS,,Right-arm medium,,2,0.000,-0.140,0.000,-0.140
